Type,Time,Error,Gradient Type
parabola_1000 1 Input 3 Sets 3000 Epochs,8.20808925,6711.686,Batch Gradient Descent
parabola_1000 1 Input 3 Sets 4000 Epochs,10.68947784,992.4363,Batch Gradient Descent
parabola_1000 1 Input 3 Sets 5000 Epochs,13.255248976999999,146.20479,Batch Gradient Descent
parabola_1000 1 Input 3 Sets 6000 Epochs,15.81548369,25.65217,Batch Gradient Descent
parabola_1000 1 Input 3 Sets 10000 Epochs,25.933966386,0.077687316,Batch Gradient Descent
parabola_1000 1 Input 4 Sets 5000 Epochs,15.508679373,250.80147,Batch Gradient Descent
parabola_1000 1 Input 4 Sets 10000 Epochs,30.612618246000004,13.222299,Batch Gradient Descent
parabola_1000 1 Input 5 Sets 5000 Epochs,17.959914036,743.7432,Batch Gradient Descent
parabola_1000 1 Input 5 Sets 10000 Epochs,35.084224357000004,595.55536,Batch Gradient Descent
parabola_1000 1 Input 6 Sets 5000 Epochs,19.932100615,686.462,Batch Gradient Descent
parabola_1000 1 Input 6 Sets 10000 Epochs,39.369608767,606.07153,Batch Gradient Descent
sinus 1 Input 2 Sets 4000 Epochs,6.910555682,1.1470891,Stochastic Gradient Descent
sinus 1 Input 2 Sets 4000 Epochs,7.037164198999999,0.2642947,Stochastic Gradient Descent
sinus 1 Input 2 Sets 4000 Epochs,7.002715786,0.26418984,Stochastic Gradient Descent
sinus 1 Input 2 Sets 4000 Epochs,6.978027495000001,0.23368996,Stochastic Gradient Descent
sinus 1 Input 2 Sets 4000 Epochs,6.9444683330000005,0.23368996,Stochastic Gradient Descent
sinus 1 Input 2 Sets 50 Epochs,0.2038790800000001,0.12682515,Mini-Batch Gradient Descent
sinus 1 Input 2 Sets 10 Epochs,0.12697202500000015,0.3169594,Batch Gradient Descent
sinus 1 Input 4 Sets 10 Epochs,0.22173551699999994,0.100263685,Batch Gradient Descent
sinus 1 Input 4 Sets 100 Epochs,0.45450018099999934,0.0019656036,Batch Gradient Descent
sinus 1 Input 4 Sets 200 Epochs,0.7139150560000003,0.0015510127,Batch Gradient Descent
sinus 1 Input 6 Sets 200 Epochs,0.9429993300000001,0.00053949084,Batch Gradient Descent
sinus 1 Input 8 Sets 200 Epochs,1.1707026260000006,0.00012311996,Batch Gradient Descent
sinus 1 Input 9 Sets 200 Epochs,1.2803760249999998,0.00012875348,Batch Gradient Descent
sinus 1 Input 9 Sets 40000 Epochs,157.49461043899998,0.10014746,Stochastic Gradient Descent
sinus 1 Input 3 Sets 50 Epochs,0.26646835300000005,0.017540824,Mini-Batch Gradient Descent
sinus 1 Input 3 Sets 100 Epochs,0.3882357390000002,0.005447618,Mini-Batch Gradient Descent
sinus 1 Input 3 Sets 150 Epochs,0.5021419319999998,0.0033282752,Mini-Batch Gradient Descent
sinus 1 Input 3 Sets 200 Epochs,0.6755371700000001,0.0029449551,Mini-Batch Gradient Descent
sinus 1 Input 4 Sets 50 Epochs,0.32737990500000036,0.006892766,Mini-Batch Gradient Descent
sinus 1 Input 4 Sets 100 Epochs,0.4882235590000006,0.0025866088,Mini-Batch Gradient Descent
sinus 1 Input 4 Sets 150 Epochs,0.596899648,0.0022437717,Mini-Batch Gradient Descent
sinus 1 Input 4 Sets 200 Epochs,0.7413261610000004,0.0019208369,Mini-Batch Gradient Descent
sinus 1 Input 5 Sets 50 Epochs,0.40332424700000047,0.0033473524,Mini-Batch Gradient Descent
sinus 1 Input 5 Sets 100 Epochs,0.5397486859999998,0.00072347606,Mini-Batch Gradient Descent
sinus 1 Input 5 Sets 150 Epochs,0.7099135459999997,0.00038600856,Mini-Batch Gradient Descent
sinus 1 Input 5 Sets 200 Epochs,1.043818602,0.00044050664,Mini-Batch Gradient Descent
sinus 1 Input 6 Sets 100 Epochs,0.6123384659999997,0.0012031081,Mini-Batch Gradient Descent
sinus 1 Input 6 Sets 150 Epochs,0.841852561,0.0007888132,Mini-Batch Gradient Descent
sinus 1 Input 6 Sets 200 Epochs,0.9633266049999998,0.00041207165,Mini-Batch Gradient Descent
sinus 1 Input 6 Sets 250 Epochs,1.1708482230000001,0.00056093425,Mini-Batch Gradient Descent
