Type,Time,Error,Gradient Type,MF Type
sinus 1 Input 3 Sets 40000 Epochs,88.304187969,0.28848445,Stochastic Gradient Descent,two equations mf
sinus 1 Input 2 Sets 6400 Epochs,11.492282557,0.2914801,Stochastic Gradient Descent,two equations mf
sinus 1 Input 2 Sets 10 Epochs,0.136772361,0.3088393,Batch Gradient Descent,two equations mf
sinus 1 Input 5 Sets 20000 Epochs,58.798894517,0.31498647,Stochastic Gradient Descent,two equations mf
sinus 1 Input 3 Sets 20000 Epochs,43.936918276,0.36294964,Stochastic Gradient Descent,two equations mf
sinus 1 Input 2 Sets 2400 Epochs,4.370140017,0.36693946,Stochastic Gradient Descent,two equations mf
sinus 1 Input 2 Sets 3200 Epochs,5.841975131,0.40842652,Stochastic Gradient Descent,two equations mf
sinus 1 Input 2 Sets 80000 Epochs,146.429628301,0.46005294,Stochastic Gradient Descent,two equations mf
sinus 1 Input 2 Sets 5 Epochs ,0.155057299,0.65376276,Mini-Batch Gradient Descent,two equations mf
sinus 1 Input 8 Sets 4000 Epochs,17.413568216,0.80348945,Stochastic Gradient Descent,two equations mf
sinus 1 Input 2 Sets 800 Epochs,1.547139642,0.951483,Stochastic Gradient Descent,two equations mf
sinus 1 Input 2 Sets 1200 Epochs,2.269917654,1.1551384,Stochastic Gradient Descent,two equations mf
sinus 1 Input 2 Sets 400 Epochs,0.827564902,1.3053147,Stochastic Gradient Descent,two equations mf
sinus 1 Input 4 Sets 2 Epochs,0.224144999,1.5268357,Batch Gradient Descent,two equations mf
sinus 1 Input 3 Sets 1 Epochs,0.162586737,2.0861676,Batch Gradient Descent,two equations mf
sinus 1 Input 4 Sets 1 Epochs,0.239554986,2.0949678,Batch Gradient Descent,two equations mf
sinus 1 Input 5 Sets 1 Epochs,0.289668343,2.1543944,Batch Gradient Descent,two equations mf
sinus 1 Input 2 Sets 1 Epochs,0.127618147,2.1592715,Batch Gradient Descent,two equations mf
